taxon,n_users_sampled,mean_mean_line_slope_log,sd_mean_line_slope_log,mean_mean_line_slope_body,sd_mean_line_slope_body,mean_percent_change_body,sd_percent_change_body,q025_slope_log,q975_slope_log,q025_slope_body,q975_slope_body,q025_percent_change,q975_percent_change
Birds,50,-0.10353833503493008,0.06430448815886741,-36.402438351803006,24.238764933130557,-21.9847649407567,13.976276168375568,-0.21811598146216227,0.009551591315073129,-79.80601162307701,2.276718123353604,-44.10993555850929,1.1639567768555703
Birds,75,-0.10329397190315384,0.05608105573132825,-37.104066643282664,20.473214526848295,-22.701399845117045,10.937199781605782,-0.20370648720861095,0.006548168992131635,-80.48953531700829,-1.7058711311045414,-41.84584423573469,-1.1933972353436695
Birds,100,-0.10163330554573982,0.04806166197411411,-35.44853354424021,19.351608974048048,-21.605845746127457,10.643145856417563,-0.19604859346342696,-0.008349023091101491,-73.53277680001685,-0.5304850479789693,-40.19983689090722,0.06393045960627808
Birds,150,-0.10894020768663265,0.03773424538698738,-38.793827673909895,13.551023801688858,-23.90587974675985,7.292428954880167,-0.17862289056507386,-0.042605113406240944,-64.10675504114444,-18.036903701759414,-36.958154882691915,-12.650005057162609
Birds,200,-0.10314749937183611,0.032143335274339456,-36.51237102213509,11.97557108741499,-22.579926481220273,6.612911516859605,-0.1694676863851844,-0.03677786306631077,-59.342350262518096,-10.675044681449407,-33.76810842383562,-7.108929401083023
Birds,300,-0.10200009302620679,0.023302507905352814,-36.142711506219634,8.377451359464782,-22.6785730370156,4.527737394172838,-0.14604354722284013,-0.04950676301696666,-49.68713291897008,-18.47932810364083,-30.026031698127944,-12.446013620532549
Birds,400,-0.10266576322424972,0.016891923808358796,-36.14112070086221,7.338165765430657,-22.757348127431083,3.9798476027004575,-0.1335237620814752,-0.07449872471274054,-50.31242654119252,-22.73669565938052,-30.130204125836723,-14.918486461630538
Birds,500,-0.10519238207886616,0.01625856467751482,-37.77458894477575,6.557376969621527,-23.601013539028,3.5491874911685812,-0.1338628596492618,-0.07134118964279265,-49.601611784240134,-24.857419843815865,-29.71497870780979,-16.2737954792385
Birds,750,-0.1074900113347026,0.008898275660309289,-38.23234526773313,3.3740847123456654,-23.888631396517372,1.8278648388015095,-0.12280413116876018,-0.0922607015802247,-44.18539475406875,-32.58771978515439,-27.028211525979053,-20.71755755578566
Butterflies,50,-0.06269628034063847,0.013687796439811417,-0.6916410565475855,0.1577976478208148,-13.275387821177036,2.844120997833055,-0.08867207454844037,-0.035803635307343054,-0.9806336989637419,-0.3722313935703225,-18.62066752797218,-7.25987762595909
Butterflies,75,-0.05986820188680861,0.01141198722944101,-0.6630120505677847,0.1293979384207646,-12.767808514255758,2.3248791074141395,-0.08255822366761734,-0.0391200443029597,-0.9314422522553557,-0.41557142647575296,-17.34940197210087,-8.235294138900576
Butterflies,100,-0.06121675407218592,0.009851984941609505,-0.6799187026856817,0.11307747371266333,-13.051051742583168,2.0313145886829393,-0.07773460554520761,-0.040517932621383715,-0.8669256542985468,-0.44468058909526553,-16.407077527802517,-8.690669312683948
Butterflies,150,-0.060478048273809815,0.008481527870947926,-0.67076255430452425,0.0961979449428122,-12.890630235042332,1.7260531417761271,-0.07769467729034671,-0.04585293041672053,-0.8705944910134628,-0.5091618230553561,-16.51747041675525,-9.952953919263184
Butterflies,200,-0.06022922101607916,0.006566987324322434,-0.6684645148086793,0.07481692127329424,-12.863948585127499,1.3473901160452542,-0.07172180874156564,-0.048210559646879834,-0.7983189823013103,-0.5330163337530609,-15.212538287892363,-10.38020210980384
Butterflies,300,-0.059822314531941125,0.004556450122267494,-0.664664677270907,0.05207583610213226,-12.7971894667589,0.9408346768757668,-0.06904742513043008,-0.05116796531655951,-0.7675796613056417,-0.562053008621939,-14.682649437220448,-10.956151878482371
Butterflies,400,-0.06073223542829781,0.004466802136045171,-0.6745435136822349,0.05220812747337371,-12.969506925116434,0.9344013813653637,-0.06890566092699484,-0.05243023414092951,-0.7671854325707198,-0.5787354145208521,-14.619109585927763,-11.260052446544735
Butterflies,500,-0.06064293309234071,0.0030729360347173432,-0.6734697537183494,0.03493774054648674,-12.954706468530361,0.6273142524529879,-0.06586742631394862,-0.05503176895207436,-0.7359139673854996,-0.6140743024807123,-14.040034406929271,-11.87335053375659
Butterflies,750,-0.06027672654758629,0.001463034599603522,-0.6692924621522924,0.016806687457098502,-12.883433127146631,0.30318957991516876,-0.06353516203599736,-0.05768886332707829,-0.7063210642542286,-0.6399656599221627,-13.536762833633983,-12.362146287288933
