taxon,species_bin,mean_species_number,mean_fitted_log_body_size,mean_fitted_body_size,median_fitted_body_size,n_users_at_species_number,start_body_size,percent_change_from_start
Birds,0,2.5069967707212055,2.066597256829648,136.57335519926417,119.20351890250151,936,136.57335519926417,0
Birds,5,7.008640674394099,2.0764983403986217,137.8175879340421,120.92880616855054,960,136.57335519926417,0.9110362214961754
Birds,10,12.00515995872033,2.0839165200064924,138.66770651501332,123.17049065267375,976,136.57335519926417,1.5334992046533769
Birds,15,17.00225133033156,2.083737587168534,137.38279709569625,122.29849323623995,984,136.57335519926417,0.5926792200799946
Birds,20,21.993008431009663,2.080673395031759,135.23244398094457,121.2850092813524,982,136.57335519926417,-0.9818249074742158
Birds,25,26.990390641320243,2.0775659329392946,133.50543387457014,121.50324872930169,968,136.57335519926417,-2.2463542176421214
Birds,30,31.98517404383326,2.0733282642065043,131.57174841419646,120.17589020722062,945,136.57335519926417,-3.662212719142932
Birds,35,36.975135623869804,2.0667239779503146,129.00953229571434,119.27909790685574,907,136.57335519926417,-5.538285921521091
Birds,40,41.980256898192195,2.0622169811078557,126.62449946518377,117.15304555202546,858,136.57335519926417,-7.284624236963899
Birds,45,46.98411910669975,2.056521512362281,124.06090066109563,114.87526165629741,819,136.57335519926417,-9.161709851758815
Birds,50,51.98333767248113,2.0530810551863388,121.8825208503391,114.63730324566053,780,136.57335519926417,-10.756735329150214
Birds,55,56.98781808337845,2.0485652022730583,120.00346982362362,113.140323593719,749,136.57335519926417,-12.132590102560382
Birds,60,61.98225352112676,2.0460813560833193,119.07297231236242,112.44676941590897,724,136.57335519926417,-12.813907120732459
Birds,65,66.98300615294463,2.0453758189915114,118.80977773872014,111.87686520190348,693,136.57335519926417,-13.006620094107301
Birds,70,71.98387587465774,2.0425136122502248,118.10960387377797,111.69989077003349,667,136.57335519926417,-13.519292470004196
Birds,75,76.97888,2.036918636563047,116.49877370812855,110.79326267575134,639,136.57335519926417,-14.69875398597792
Birds,80,81.99139642620781,2.033464258251883,115.37294124980097,109.27080290015658,609,136.57335519926417,-15.523096667377933
Birds,85,86.98948439620081,2.028110153030214,113.98658288627264,107.83631864426164,597,136.57335519926417,-16.53819830378833
Birds,90,91.979174020473,2.0212664526050332,112.0643941970401,106.65507115043926,580,136.57335519926417,-17.945638786178197
Birds,95,96.98897464167585,2.01540991104047,110.2165182371403,105.56217958684846,552,136.57335519926417,-19.298666949836985
Birds,100,111.53121658303859,2.009453486317307,108.49342666261495,103.79959765249001,538,136.57335519926417,-20.56032708259957
Birds,125,136.53598347960764,1.997510167869821,105.13908302735399,100.66874567396479,428,136.57335519926417,-23.016401790852058
Birds,150,161.4437483685722,1.9823507975686694,101.26910360377563,97.68029882762625,346,136.57335519926417,-25.85002875852226
Birds,175,186.68709884467265,1.9658303293421562,97.69509171524405,92.54359999221612,267,136.57335519926417,-28.466946153073348
Birds,200,211.54941915825557,1.9529952615095798,94.56823763011691,89.93777748796656,229,136.57335519926417,-30.756451364807337
Birds,225,236.46858256210425,1.943823781678695,91.99573416648093,87.90780796770055,184,136.57335519926417,-32.640057035827596
Birds,250,261.5645645645646,1.934028611205415,89.54978368510781,85.54316347440854,144,136.57335519926417,-34.43099969649842
Birds,275,286.61113105924596,1.9220563050037027,87.16780091724355,83.11193282236994,119,136.57335519926417,-36.17510473396264
Birds,300,311.5765486725664,1.9095640175373352,84.78543388663394,79.61463189013995,102,136.57335519926417,-37.919491131392554
Birds,325,336.5471190091545,1.9040505225361575,83.5858398942808,77.5238524195591,82,136.57335519926417,-38.79784254232692
Birds,350,361.4727030625832,1.893374654283476,81.7856974709491,75.19720065849361,67,136.57335519926417,-40.1159198647338
Birds,375,386.72469635627533,1.8863298014436536,80.23303701867087,73.39038065204424,54,136.57335519926417,-41.25278909520183
Birds,400,411.58879392212725,1.882923528112396,79.70007478919955,72.85178985391784,46,136.57335519926417,-41.64302790034336
Birds,425,436.7412882787751,1.8751587215166692,78.80533223833298,70.18408900900452,39,136.57335519926417,-42.2981648775093
Birds,450,461.93793103448274,1.867805534009048,78.09116889302052,66.77104900779649,35,136.57335519926417,-42.82108045227165
Birds,475,486.7102803738318,1.8470441521085823,73.41069932392381,64.01581683271964,33,136.57335519926417,-46.248154175596234
Birds,500,546.5305711987128,1.8385551418437434,71.93156920612897,64.21703204398662,29,136.57335519926417,-47.331183962509456
Birds,600,644.8945908460472,1.834814760130673,71.58721026315719,77.5666591410286,20,136.57335519926417,-47.583326075053556
Birds,700,742.1152912621359,1.8362791162964567,71.91977267656264,60.786289794379975,11,136.57335519926417,-47.33982146691075
Butterflies,0,2.5183893468611287,0.6992133762898511,5.043725315305274,5.026595245982671,805,5.043725315305274,0
Butterflies,5,7.014182692307692,0.699148693179763,5.036234668348175,5.045324259690792,844,5.043725315305274,-0.14851417333072714
Butterflies,10,12.002594339622641,0.693690062406025,4.966572258517657,4.991077891225537,851,5.043725315305274,-1.529683953118821
Butterflies,15,16.99763816721776,0.6856213224166738,4.873331571780832,4.8871157456695915,850,5.043725315305274,-3.3783311515276027
Butterflies,20,21.953558052434456,0.6759281811136368,4.765432561273059,4.761418020568422,839,5.043725315305274,-5.517603291910655
Butterflies,25,26.954532617904547,0.6685989010520386,4.6846208983247095,4.664296507757535,739,5.043725315305274,-7.119825020820536
Butterflies,30,31.933068257123924,0.661917573144857,4.61115232082692,4.571852544016072,649,5.043725315305274,-8.576458221578864
Butterflies,35,36.931587177482406,0.6565278684461963,4.553742999136237,4.523050475012198,546,5.043725315305274,-9.714690740238707
Butterflies,40,41.944110854503464,0.6506311077773195,4.492867551260637,4.4649502742008345,459,5.043725315305274,-10.921644808313602
Butterflies,45,46.932049224184055,0.6490518560235669,4.477252445658539,4.4305520269637455,397,5.043725315305274,-11.231239495294531
Butterflies,50,51.91921119592875,0.6458140471735531,4.443012593788107,4.388224604936873,341,5.043725315305274,-11.910099856038814
Butterflies,55,56.93069306930693,0.643036482017963,4.412445850258227,4.368883236786895,282,5.043725315305274,-12.516134911856081
Butterflies,60,61.93097345132743,0.6415831311947106,4.3977748400234935,4.361677606384449,241,5.043725315305274,-12.807011383463573
Butterflies,65,66.93285123966942,0.6396056542311086,4.3798193517628405,4.351222262832976,207,5.043725315305274,-13.16300793637193
Butterflies,70,71.9622641509434,0.6380783474855976,4.364482125553799,4.340788647359643,176,5.043725315305274,-13.467093215609882
Butterflies,75,76.97168597168597,0.635841435926025,4.343782025215008,4.315474173189443,160,5.043725315305274,-13.877506135520024
Butterflies,80,81.9690576652602,0.6377144341914756,4.360701498204863,4.325092725812519,146,5.043725315305274,-13.542050258521476
Butterflies,85,86.97519379844961,0.6373560670475492,4.355974276161226,4.319165317926296,132,5.043725315305274,-13.635775070007384
Butterflies,90,91.96464646464646,0.6348025047940011,4.329513363358202,4.296831014102748,124,5.043725315305274,-14.16040540074185
Butterflies,95,96.9607476635514,0.6345608953661831,4.328073337563185,4.307318032293059,112,5.043725315305274,-14.18895623777191
Butterflies,100,110.75473579262213,0.6322297435964914,4.306901339276055,4.292539921574518,103,5.043725315305274,-14.60872529662377
Butterflies,125,136.2754749568221,0.6315992675209985,4.298867023960255,4.29232675564294,56,5.043725315305274,-14.768018573191
Butterflies,150,161.4020737327189,0.6295800673385834,4.2817356614978275,4.270024481140252,40,5.043725315305274,-15.107675501185113
Butterflies,175,185.30978260869566,0.6268747118470468,4.255858617048078,4.285893936265473,32,5.043725315305274,-15.620729698867619
Butterflies,200,211.21428571428572,0.6338331726822009,4.313044394375201,4.277737683773566,15,5.043725315305274,-14.48692930823986
Butterflies,225,236.70342205323195,0.6340100184684703,4.315873546073569,4.253195329471411,11,5.043725315305274,-14.430836806735392
Butterflies,250,261.408256880734,0.6332154438309463,4.310643621368118,4.238492495842686,10,5.043725315305274,-14.534528510357347
Butterflies,275,278,0.6336858439712404,4.320171841172896,4.23374139497273,7,5.043725315305274,-14.345616164638109
