taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,(Intercept),2.1778487700940357,0.02391837375468249,2.130961486335655,2.2247360538524164,91.05337981716583,0
Birds,relative_time_compare,-0.013062310035876564,0.011235006946362622,-0.035112442322915015,0.008987822251161884,-1.1626436991305589,0.24528508643249142
Birds,dataset_compareFirst species,0.012700781925287655,0.010592215635096021,-0.008060408403712813,0.033461972254288125,1.1990675381650233,0.23051106041938704
Birds,log_n_compare,-0.027304972002594265,0.008658608251101306,-0.044277793354014605,-0.010332150651173929,-3.1535058765502284,0.0016184735385202202
Birds,relative_time_compare:dataset_compareFirst species,-0.10016154324162017,0.012547900775318132,-0.12475502495756233,-0.07556806152567802,-7.982334657812971,1.4383418912005484e-15
Butterflies,(Intercept),0.7908899112523758,0.008738491104415606,0.7737519099301755,0.8080279125745762,90.50646179095325,0
Butterflies,relative_time_compare,-0.003051285286446349,0.00267038523865878,-0.008292518642152365,0.0021899480692596654,-1.1426386134379918,0.25350658903276524
Butterflies,dataset_compareFirst species,-0.0218303697122464,0.005332873292472426,-0.03228458392217044,-0.01137615550232236,-4.093547420873637,4.300445001219307e-5
Butterflies,log_n_compare,-0.0273029472046478,0.003496124610740721,-0.03415988847177916,-0.02044600593751644,-7.809489147145458,9.731349311767528e-15
Butterflies,relative_time_compare:dataset_compareFirst species,-0.05699078708312831,0.006389702978922455,-0.06951440667072857,-0.04446716749552805,-8.919160604353962,4.714404326273563e-19
